"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 21 21:04:41 GMT 2022","Tue Jun 21 21:04:42 GMT 2022","155","","tests.RadioButtonTest","","tests.RadioButtonTest","TestMultipleCheckedButton","TestMultipleCheckedButton()",""
"broken","Tue Jun 21 21:04:40 GMT 2022","Tue Jun 21 21:04:41 GMT 2022","759","","tests.DualListBoxTest","","tests.DualListBoxTest","TestAddAllElementButton","TestAddAllElementButton()",""
"broken","Tue Jun 21 21:04:41 GMT 2022","Tue Jun 21 21:04:41 GMT 2022","203","","tests.RadioButtonTest","","tests.RadioButtonTest","TestSingleCheckedButton","TestSingleCheckedButton()",""
"broken","Tue Jun 21 21:04:41 GMT 2022","Tue Jun 21 21:04:41 GMT 2022","228","","tests.DualListBoxTest","","tests.DualListBoxTest","TestAddSingleElement","TestAddSingleElement()",""
"broken","Tue Jun 21 21:04:42 GMT 2022","Tue Jun 21 21:04:42 GMT 2022","149","","tests.InputFieldTest","","tests.InputFieldTest","TestSumTwoInvalidInputs","TestSumTwoInvalidInputs()",""
"broken","Tue Jun 21 21:04:42 GMT 2022","Tue Jun 21 21:04:42 GMT 2022","148","","tests.ProgressBarTest","","tests.ProgressBarTest","TestProgressBarDownload","TestProgressBarDownload()",""
"broken","Tue Jun 21 21:04:42 GMT 2022","Tue Jun 21 21:04:42 GMT 2022","144","","tests.AlertTest","","tests.AlertTest","TestSubmitValidInput","TestSubmitValidInput()",""
"broken","Tue Jun 21 21:04:42 GMT 2022","Tue Jun 21 21:04:42 GMT 2022","144","","tests.AlertTest","","tests.AlertTest","TestInputCancel","TestInputCancel()",""
"broken","Tue Jun 21 21:04:42 GMT 2022","Tue Jun 21 21:04:42 GMT 2022","145","","tests.InputFieldTest","","tests.InputFieldTest","TestSumTwoNumbers","TestSumTwoNumbers()",""
